	id	date	year	type	area	location	activity	fatalyn	species	source	time	injury	country
21	2016.01.28	28-Jan-16	2016	Unprovoked	Hawaii	Hanalei Bay, Kauai	Surfing	N	Reef shark, 5'	KHON2. 1/28/2016	earlyafternoon	injury	atlantic ocean
22	2016.01.24.b	24-Jan-16	2016	Unprovoked	Texas	Off Surfside	Spearfishing	N	Bull sharks x 2	K. Love	morning	injury	atlantic ocean
23	2016.01.02	02-Jan-16	2016	Unprovoked	Queensland	Miall Island	Spearfishing	N	3 m shark	Courier Mail, 1/2/2016	morning	injury	pacific ocean
24	2015.12.21.b	21-Dec-15	2015	Unprovoked	New South Wales	Bondi Beach	Surfing	N	Bronze whaler shark, 6'	The Telegraph, 12/22/;2015	earlymorning	death	pacific ocean
25	2015.12.13	13-Dec-15	2015	Unprovoked	New South Wales	Lake Macquarie	Fishing	N	White shark, 3.5 m	Courier Mail, 12/15/2015	morning	injury	pacific ocean
26	2015.11.10	10-Nov-15	2015	Unprovoked	New South Wales	East Ballina	Surfing	N	Bull shark, 2.8 to 3.1 m	The Sydney Morning Herald, 11/11/2015	earlyevening	injury	pacific ocean
27	2015.12.23	07-Nov-15	2015	Invalid	Florida	Paradise Beach, Melbourne, Brevard County	Surfing	N	Shark involvement not confirmed	Fox25Orlando, 11/7/2015	morning	injury	atlantic ocean
28	2015.11.01.b	01-Nov-15	2015	Unprovoked	Florida	Cocoa Beach, Brevard  County	Wading	N	3' to 5' shark	USA Today, 11/1/2015	earlyafternoon	injury	atlantic ocean
29	2015.10.25	25-Oct-15	2015	Unprovoked	Western Cape Province	Stil Bay	Surfing	N	White shark, 3 to 3.5m 	News 24, 10/26/2015	earlyafternoon	injury	atlantic ocean
30	2015.10.21	21-Oct-15	2015	Unprovoked	Florida	Playalinda Beach, Brevard County	Surfing	N	5' shark	ClickOrlando.com, 10/21/2015	earlyafternoon	injury	atlantic ocean
31	2015.10.19	19-Oct-15	2015	Unprovoked	Florida	Deerfield Beach, Broward County	Surfing	N	Spinner shark, 5'	NBC6.com, 10/19/2015	earlyafternoon	injury	atlantic ocean
32	2015.10.17.b	17-Oct-15	2015	Invalid	Hawaii	Waikiki, 	Surfing	N	No shark involvement	KHON2, 10/17/2015	earlyevening	death	atlantic ocean
33	2015.10.17.a	17-Oct-15	2015	Unprovoked	Hawaii	Lanikai Beach, Kailua, Oahu	Swimming	N	Tiger shark, 7'	KHON2, 10/17/2015	morning	injury	atlantic ocean
34	2015.10.13	13-Oct-15	2015	Unprovoked	California	Off Leffingwell Landing, San Luis Obispo County	Kayak Fishing	N	Hammerhead sp.	The Tribune, 10/28/2015	morning	injury	atlantic ocean
35	2015.10.09.a	09-Oct-15	2015	Unprovoked	Hawaii	Leftovers, Oahu	Surfing	N	Tiger shark, 13' 	Hawaii News Now, 10/9/2015	morning	death	atlantic ocean
36	2015.10.05.a	05-Oct-15	2015	Unprovoked	Texas	Galveston	Wading	N	4' to 5' shark	Houston Chronicle, 10/5/2015	morning	injury	atlantic ocean
37	2015.10.04	04-Oct-15	2015	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	Blacktip shark, 4' to 5'	CNN, 10/4/2015	earlymorning	injury	atlantic ocean
38	2015.09.29	29-Sep-15	2015	Unprovoked	Florida	Vilano Beach, St.  Johns County	Surfing	N	Blacktip shark, 5' to 6'	First Coast News, 9/30/2015	afternoon	death	atlantic ocean
39	2015.09.24	24-Sep-15	2015	Unprovoked	California	Horseshoe Rock, Santa Barbara County	Kayak fishing	N	White shark, 19'	R. Collier	morning	injury	atlantic ocean
40	2015.09.20.d	20-Sep-15	2015	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	juvenile shark	Orlando Sentinel, 9/20/2015	afternoon	injury	atlantic ocean
41	2015.09.20.c	20-Sep-15	2015	Unprovoked	Hawaii	Upolu Point, North Kohala, Big Island	Spearfishing	N	Tiger shark, 13'	Big Island Video, 9/20/2015	earlyafternoon	injury	atlantic ocean
42	2015.09.20.b	20-Sep-15	2015	Unprovoked	Florida	Fernandina Beach, Amelia Island, Nassau County	Wading	N	4' shark	News4Jax, 9/21/2015	latemorning	injury	atlantic ocean
43	2015.09.08	08-Sep-15	2015	Unprovoked	New South Wales	North Shelly Beach	Surfing	N	6' shark	ABC News, 9/8/2015	earlymorning	injury	pacific ocean
44	2015.09.06	06-Sep-15	2015	Unprovoked	California	El Pescador Beach, Los Angeles County	Stand-Up Paddleboarding	N	White shark, 11' to 12'	R. Collier, GSAF	lateafternoon	death	atlantic ocean
45	2015.09.05	05-Sep-15	2015	Provoked	California	Deer Creek Beach, Ventura County	Kayak Fishing	N	Hammerhead shark.	R. Collier, GSAF	earlyafternoon	death	atlantic ocean
46	2015.09.01	01-Sep-15	2015	Unprovoked	Phuket	Karon Beach	Wading	N	small shark	Phuket Gazette, 9/1/2015	earlymorning	injury	pacific ocean
47	2015.08.29.b	29-Aug-15	2015	Unprovoked	California	Morro Strand State Beach, San Luis Obispo County	Surfing	N	White shark, 11' to 12'	R. Collier, GSAF	morning	injury	atlantic ocean
48	2015.08.29.a	29-Aug-15	2015	Unprovoked	California	Morro Bay, San Luis Obispo County	Surfing	N	White shark, 10' to 12' 	R. Collier, GSAF	morning	death	atlantic ocean
49	2015.08.20	20-Aug-15	2015	Unprovoked	South Carolina	Murrells Inlet, Georgetown County	Surfing	N	4' shark	C. Creswell, GSAF	latemorning	injury	atlantic ocean
50	2015.08.19	19-Aug-15	2015	Unprovoked	Florida	Jacksonville Beach, Duval County	Walking	N	3' shark	ABC News, 8/21/2015	earlyafternoon	injury	atlantic ocean
51	2015.08.18.b	18-Aug-15	2015	Unprovoked	California	Santa Barbara County	Kayak Fishing	N	White shark, 13'	R. Collier, GSAF	earlymorning	injury	atlantic ocean
52	2015.08.18.a	18-Aug-15	2015	Invalid	Alicante	Poniente Beach, Benidorm	Swimming	N	Shark involvement not confirmed	The Local, 8/18/2015	morning	injury	atlantic ocean
53	2015.08.10	10-Aug-15	2015	Provoked	California	Cortes Bank	Spearfishing	N	Hammerhead shark. 6' to 7'	NBC San Diego, 8/13/2015	earlymorning	provoked	atlantic ocean
54	2015.07.31	31-Jul-15	2015	Unprovoked	New South Wales	Evans Head	Surfing	N	White shark	Daily Telegraph, 7/31/2015	earlymorning	injury	pacific ocean
55	2015.07.26.b	26-Jul-15	2015	Unprovoked	Florida	Daytona Beach, Volusia County	Surfing	N	Blacktip or spinner shark, 4'	CBS 7/27/2015	earlyevening	death	atlantic ocean
56	2015.07.26.a	26-Jul-15	2015	Invalid	South Carolina	Edisto Beach, Colleton County	Floating	N	Thought to involve a 3' to 4' shark, but shark involvement not confirmed	C. Creswell, GSAF, ABC 11, 7/27/2015	morning	death	atlantic ocean
57	2015.07.25	25-Jul-15	2015	Unprovoked	Tasmania	Lachan Island, Mercury Passage	Scallop diving on hookah	Y	White shark	C. Black, GSAF	morning	death	pacific ocean
58	2015.07-10	10-Jul-15	2015	Unprovoked	California	Huntington Beach, Orange County	Surfing	N	White shark, 7'	KTLA, 7/10/2015	earlymorning	death	atlantic ocean
59	2015.07.03	03-Jul-15	2015	Unprovoked	New South Wales	Lennox Head	Surfing	N	White shark	Northern Star, 7/3/2015	morning	injury	pacific ocean
60	2015.07.02	02-Jul-15	2015	Unprovoked	New South Wales	East Ballina	Body boarding 	N	White shark	Northern Star, 7/2/2015	morning	injury	pacific ocean
61	2015.07.01	01-Jul-15	2015	Unprovoked	North Carolina	Ocracoke, Lifeguard Beach, National Park Service, Hyde County	Swimming	N	6' to 7' shark	C. Creswell, GSAF	latemorning	injury	atlantic ocean
62	2015.06.30.a	30-Jun-15	2015	Unprovoked	South Carolina	Isle of Palms County Park, Isle of Palms, Charleston County	Playing in the water	N	4' to 5' shark	C. Creswell, GSAF	earlyevening	injury	atlantic ocean
63	2015.06.27.b	27-Jun-15	2015	Unprovoked	North Carolina	Rodanthe, Dare County	Swimming	N	Bull shark	C. Creswell, WRAL, 6/27/2015	afternoon	injury	atlantic ocean
64	2015.06.27.a	27-Jun-15	2015	Unprovoked	Western Cape Province	Buffels Bay near Knysna	Body Boarding	N	White shark	NSRI, 6/27/205	earlyafternoon	injury	atlantic ocean
65	2015.06.26.c	26-Jun-15	2015	Invalid	Florida	Jacksonville Beach, Duval County	Swimming	N	Shark involvement not confirmed	Action News Jax, 6/26/2015	earlyevening	injury	atlantic ocean
66	2015.06.26.b	26-Jun-15	2015	Unprovoked	Western Cape Province	Lookout Beach, Plettenberg Bay	Surfing	N	White shark, 2m to 3 m	Zig Zag Surfing Magazine	afternoon	injury	atlantic ocean
67	2015.06.26.a	26-Jun-15	2015	Unprovoked	South Carolina	South Beach, Hunting Island State Park, Beaufort County	Standing	N	4' shark	C. Creswell, GSAF; WCNC, 6/26/2015	morning	injury	atlantic ocean
68	2015.06.24.b	24-Jun-15	2015	Unprovoked	North Carolina	Surf City	Swimming	N	Sandtiger shark	C. Creswell, GSAF	latemorning	injury	atlantic ocean
69	2015.06.24.a	24-Jun-15	2015	Invalid	Western Australia	Denmark	Surfing	N	White shark	L. Kumpe, R. Mcauley	morning	injury	pacific ocean
70	2015.06.14.b	14-Jun-15	2015	Unprovoked	North Carolina	Oak Island, Brunswick County	Wading	N	Bull shark	C. Creswell, GSAF	lateafternoon	amputation	atlantic ocean
71	2015.06.14.a	14-Jun-15	2015	Unprovoked	North Carolina	Oak Island, Brunswick County	Wading	N	Bull shark	C. Creswell, GSAF	afternoon	injury	atlantic ocean
72	2015.06.11	11-Jun-15	2015	Unprovoked	North Carolina	Ocean Isle, Brunswick County	Boogie boarding	N	4' shark	C. Creswell, GSAF	latemorning	injury	atlantic ocean
73	2015.06.07	07-Jun-15	2015	Unprovoked	Florida	Lori Wilson Park, Cocoa Beach, Brevard  County	Playing	N	Bull shark, 5'	Florida Today, 6/7/2015	morning	injury	atlantic ocean
74	2015.06.01	01-Jun-15	2015	Unprovoked	Le Port	Folette	Surfing	N	Bull shark, 2.5 m	Clincanoo, 6/1/2015	earlyafternoon	injury	indian ocean
75	2015.05.25	25-May-15	2015	Unprovoked	Rangiroa	Avatoru Pass	Spearfishing	N	1m to 1.2 m shark	Polyn�sie 1�re. 5/262015	earlymorning	injury	pacific ocean
76	2015.05.20	20-May-15	2015	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	5' shark	WFTV, 5/20/2015	morning	death	atlantic ocean
77	2015.05.03	03-May-15	2015	Unprovoked	New South Wales	Saltwater Beach	Surfing	N	White shark	ABC, 5/3/2015	earlyafternoon	injury	pacific ocean
78	2015.05.02	02-May-15	2015	Unprovoked	Eastern Cape Province	Port St. John's	Diving	N	White shark, 3.5 m	DispatchLive, 5/4/2015	earlyafternoon	injury	atlantic ocean
79	2015.04.26	26-Apr-15	2015	Unprovoked	Florida	Resident's Beach, Marco Island	Wading	N	3- to 4-foot shark	ABC-7, 4/27/2015	afternoon	injury	atlantic ocean
80	2015.04.25	25-Apr-15	2015	Unprovoked	South Australia	Fishery Bay	Surfing	N	White shark, 6 m	The Advertiser, 4/25/2015	morning	amputation	pacific ocean
81	2015.04.24.c	24-Jun-15	2015	Unprovoked	New South Wales	Belongil Beach, Byron Bay	Surf skiing 	N	White shark, 3 m	Echo Daily, 6/25/2015	morning	injury	pacific ocean
82	2015.04.12	12-Apr-15	2015	Unprovoked	Saint-Gilles-les-Bains	Cap Homard	Surfing	Y	Bull shark	Le Huffington Post, 4/15/2015	morning	death	indian ocean
83	2015.03.31	31-Mar-15	2015	Invalid	Pernambuco	Praia del Chifre, Olinda	Surfing	N	No shark involvement	Globo, 3/31/2015	morning	death	atlantic ocean
84	2015.03.18	18-Mar-15	2015	Unprovoked	Hawaii	Hapuna Beach	Standing / Snorkeling	N	Tiger shark, 8 to 12 feet	KMBC, 3/19/2015	morning	injury	atlantic ocean
85	2015.03.16	16-Mar-15	2015	Unprovoked	Bora Bora	Anau	Hand feeding sharks	N	Blacktip shark	Radio1, 3/16/2015	morning	injury	pacific ocean
86	2015.02.14	14-Feb-15	2015	Unprovoked	d��tang-Sal�	Ravine Mula	Swimming	Y	Tiger shark, 3.5 m	L'Yonne R�publicaine, 2/14/2015	earlyevening	death	indian ocean
87	2015.02.09	09-Feb-15	2015	Unprovoked	New South Wales	Shelly Beach	Surfing	Y	3.5 to 4 m shark	The Telegraph, 2/9/2015	morning	death	pacific ocean
88	2015.02.08	08-Feb-15	2015	Unprovoked	New South Wales	Seven Mile Beach, Byron Bay	Surfing	N	2 m to  3 m shark	The Telegraph, 2/8/2015	earlymorning	injury	pacific ocean
89	2015.01.30	30-Jan-15	2015	Unprovoked	Queensland	Nerang River, Surfer's  Paradise	Rowing	N	Bull shark, 1.3 m	Gold Coast Bulletin, 1/31/2015	earlymorning	injury	pacific ocean
90	2015.01.27	27-Jan-15	2015	Provoked	Hawaii	Lahaina	Shark fishing	N	4' shark	Huffington Post, 1/28/2015	night	death	atlantic ocean
91	2015.01.17	17-Jan-15	2015	Unprovoked	New South Wales	Off Blacksmith Beach	Fishing	N	5 m shark	The Sydney Morning Herald, 1/18/2015	earlyafternoon	injury	pacific ocean
92	2015.01.06	06-Jan-15	2015	Unprovoked	Abaco Islands	Tahiti Beach, Elbow Cay	Snorkeling	N	White shark or oceanic whitetip shark	Britt Martin; Local10, 1/7/2015	afternoon	injury	atlantic ocean
93	2015.01.03	03-Jan-15	2015	Unprovoked	Eastern Cape Province	Chintsa East Beach	Surfing	N	Raggedtooth shark, 1.3 m	Dispatch Online, 1/7/2015	earlymorning	death	atlantic ocean
94	2014.12.28.b	28-Dec-14	2014	Unprovoked	California	Monta�a de Oro State Park, San Luis Obispo County 	Surfing	N	White shark, 8' to 10'	R. Collier, GSAF	morning	injury	atlantic ocean
95	2014.11.16	16-Nov-14	2014	Unprovoked	Florida	Indian Harbor Beach, Brevard County	Surfing	N	2' shark	USA Today, 11/16/2014	earlyafternoon	injury	atlantic ocean
96	2014.11.13	13-Nov-14	2014	Unprovoked	Hawaii	Airplane Beach, Lahina, West Maui	Snorkeling	N	1.5 m shark	G. Kubota, Star Advertiser, 11/13/2014	earlyafternoon	injury	atlantic ocean
97	2014.10.31	31-Oct-14	2014	Unprovoked	Hawaii	North Kohala, Hawaii County	Surfing	N	Tiger shark, 12'	L. Kubota, Hawaii News Now, 10/31/2014	morning	injury	atlantic ocean
98	2014.10.22	22-Oct-14	2014	Unprovoked	Hawaii	Kihei, Maui	Stand-Up Paddleboarding	N	Tiger shark	Hawaii News Now, 10/22/2014	morning	injury	atlantic ocean
99	2014.10.18	18-Oct-14	2014	Unprovoked	Hawaii	Maalaea, South Maui	Surfing	N	12' to 14' shark	Star Advertiser, 10/18/2014	morning	injury	atlantic ocean
100	2014.10.17	17-Oct-14	2014	Unprovoked	New South Wales	Avoca Beach	Surfing	N	1 m shark	Sydney Morning Herald, 10/17/2014	earlymorning	injury	pacific ocean
101	2014.10.05.b	05-Oct-14	2014	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	Blacktip shark	WESH2, 10/6/2014	morning	injury	atlantic ocean
102	2014.10.05.a	05-Oct-14	2014	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	Blacktip shark	WESH2, 10/6/2014	morning	injury	atlantic ocean
103	2014.10.03.b	03-Oct-14	2014	Unprovoked	California	Santa Barbara County	Kayaking	N	White shark, 18' to 20'	R. Collier, GSAF	earlyafternoon	injury	atlantic ocean
104	2014.10.03.a	03-Oct-14	2014	Unprovoked	California	Santa Barbara County	Kayaking 	N	White shark	R. Collier, GSAF	morning	injury	atlantic ocean
105	2014.10.02.b	02-Oct-14	2014	Unprovoked	California	Walls Beach, Vandenberg AFB, Santa Barbara County	Surfing	N	8' to 10' shark	R. Collier, GSAF	lateafternoon	injury	atlantic ocean
106	2014.10.02.a	02-Oct-14	2014	Unprovoked	Western Australia	Kelpids Beach, Wylie Bay, Esperance	Surfing	N	"2 white shark: 13' & 9""8"""	9News, 2/15/2015	morning	injury	pacific ocean
107	2014.09.09	09-Sep-14	2014	Unprovoked	New South Wales	Clarkes Beach, Byron Bay	Swimming	Y	7' shark	BBC, 9/9/2014	morning	death	pacific ocean
108	2014.09.06	06-Sep-14	2014	Unprovoked	Alabama	Katrina Cut, Dauphin Island, Mobile County	Fishing 	N	Bull shark	Fox10TV.com, 9/7/2014	earlyafternoon	injury	atlantic ocean
109	2014.09.03	03-Sep-14	2014	Unprovoked	Massachusetts	Manomet Point, Plymouth, Plymouth County	Kayaking 	N	White shark, 12' to 14'	Boston Globe, 9/4/2014	earlyevening	injury	atlantic ocean
110	2014.09.02	02-Sep-14	2014	Provoked	Florida	Fletcher Beach, Hutchinson Island, Martin County	Fishing	N	3' to 4' shark	WPBF.com, 9/2/2014	evening	death	atlantic ocean
111	2014.08.31	31-Aug-14	2014	Unprovoked	Florida	New Smyrna Beach, Volusia County	Body surfing	N	Spinner shark	Sun Sentinel, 8/31/2014	afternoon	injury	atlantic ocean
112	2014.08.12	12-Aug-14	2014	Unprovoked	Florida	3 to 4 miles west of Indian Pass, Gulf County	Standing	N	 Bull shark, 8'	K. Hayes / Brewton Standard, 8/19/2014	morning	injury	atlantic ocean
113	2014.08.06	06-Aug-14	2014	Unprovoked	South Carolina	Folly Beach, Charleston County	Boogie boarding	N	4' tp 5' shark	C. Creswell, GSAF;        WCSC. 8/6/2014	earlyafternoon	injury	atlantic ocean
114	2014.08.01	01-Aug-14	2014	Unprovoked	Western Cape Province	Muizenberg	Surfing	N	White shark	NSRI, 8/1/2014	earlyafternoon	injury	atlantic ocean
115	2014.07.16	16-Jul-14	2014	Unprovoked	Hawaii	Paia Bay, Maui	Swimming	N	6' to 8' shark	Maui Now, 7/16/2014	lateafternoon	injury	atlantic ocean
116	2014.07.14	14-Jul-14	2014	Unprovoked	Florida	Okaloosa Island	Swimming	N	4' shark	W. Victora, Daily News, 7/15/2014	earlyafternoon	injury	atlantic ocean
117	2014.07.05.b	05-Jul-14	2014	Provoked	California	Manhattan Beach, Los Angeles County	Swimming	N	 White shark, 7' 	R. Collier, GSAF /                   M Michaelson, SRI 	morning	death	atlantic ocean
118	2014.07.03	03-Jul-14	2014	Unprovoked	South Carolina	Isle of Palms, Charleston County	Body surfing	N	4' to 5' shark	C. Creswell, GSAF Live5News, 7/3/2014	earlyevening	injury	atlantic ocean
119	2014.06.09.b	09-Jun-14	2014	Unprovoked	Delaware	Cape Henlopen State Park, Sussex County	Standing	N	 Sandbar shark, 3' to 4'	News Journal (Wilmington, Del), 6/11/2014	lateafternoon	injury	atlantic ocean
120	2014.06.09.a	09-Jun-14	2014	Unprovoked	South Australia	Parsons Beach,  Fleurieu Peninsula	Body boarding	N	Bronze whaler shark, 1.5m	The Australian, 6/9/2014	morning	injury	pacific ocean
121	2014.06.01.c	01-Jun-14	2014	Unprovoked	Florida	Fort Lauderdale	Swimming	N	Bull shark	Local10.com, 6/1/2014	earlyafternoon	injury	atlantic ocean
122	2015.11.20	20-Nov-15	2015	Unprovoked	Galapagos Islands	Punta Vicente Roca, Isabella Island	Snorkeling	N	Galapagos shark	G. Hurley	morning	injury	pacific ocean
123	2014.05.14	14-May-14	2014	Unprovoked	South Australia	Elliston, Eyre Peninsula	Surfing	N	 white shark, 15' 	N. Davies, The Advertiser, 5/114/2014	morning	death	pacific ocean
124	2014.05.06	06-May-14	2014	Unprovoked	South Carolina	Coligny Beach, Hilton Head, Beaufort County	Swimming	N	4' to 5' shark	The Island Packet, 5/7/2014	earlyafternoon	injury	atlantic ocean
125	2014.05.01	01-May-14	2014	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	3' shark	Wesh.com, 5/2/2014	earlyafternoon	death	atlantic ocean
126	2014.04.03	03-Apr-14	2014	Unprovoked	New South Wales	Tathra	Swimming	Y	3 m to 4 m white shark	B. Myatt, GSAF	earlymorning	death	pacific ocean
127	2014.03.22.b	22-Mar-14	2014	Unprovoked	Eastern Cape Province	Second Beach, Port St Johns	Swimming	Y	2 m shark	Austrian Independent, 3/24/2014	earlyafternoon	death	atlantic ocean
128	2014.03.12	12-Mar-14	2014	Unprovoked	New South Wales	Lighthouse Beach	Swimming	N	Wobbegong shark	N. Keene, The Daily Telegraph, 3/13/2014	earlyevening	injury	pacific ocean
129	2014.02.20	20-Feb-14	2014	Unprovoked	Society Islands	Huahine	Kitesurfing	N	Blacktip reef shark 	A. Brenneka, Shark Attack Survivors	afternoon	injury	pacific ocean
130	2014.02.07	07-Feb-14	2014	Unprovoked	South Island	Porpoise Bay	Surfing	N	7-gill shark?	New Zealand Herald, 2/7/2014	evening	injury	pacific ocean
131	2013.12.25	25-Dec-13	2013	Unprovoked	North Province	Lind�ralique, Hiengh�ne	Snorkeling	N	Reported to involve a bull shark	Les Novelles Caledonie, 12/26/2014	morning	injury	pacific ocean
132	2013.12.16	16-Dec-13	2013	Unprovoked	Western Cape Province	Die Platt	Surfing	N	White shark, 3m 	Cape Argus, 12/16/2013	earlymorning	injury	atlantic ocean
133	2013.12.11	11-Dec-13	2013	Unprovoked	Hawaii	Ninole Bay, Hawaii County	Boogie boarding	N	Tiger shark, 10' to 12'	Big Island Now, 12/11/2013	earlymorning	injury	atlantic ocean
134	2013.12.10	10-Dec-13	2013	Unprovoked	Florida	Cocoa Beach, Brevard  County	Surfing	N	4' to 6' shark	Florida Today, 12/10/2103	earlyafternoon	injury	atlantic ocean
135	2013.12.05	05-Dec-13	2013	Unprovoked	New South Wales	Shelly Beach, near Port Macquarie	Surfing	N	 Wobbegong shark, 1.6 to 1.8m 	The Sydney Morning Herald, 12/5/2013	earlyevening	injury	pacific ocean
136	2013.11.30	30-Nov-13	2013	Unprovoked	New South Wales	Riecks Point,  Campbell�s Beach, 	Body boarding	Y	Tiger shark, 3m 	The Sydney Morning Herald, 11/30/2013	earlyafternoon	death	pacific ocean
137	2013.11.23.a	23-Nov-13	2013	Unprovoked	Western Australia	Gracetown	Surfing	Y	Thought to involve a white shark	J. Baily; Perth Now, 11/23/2013	morning	death	pacific ocean
138	2013.11.22	22-Nov-13	2013	Unprovoked	Oregon	Gleneden Beach, Lincoln County	Surfing	N	White shark, 10 '	R. Collier	morning	death	atlantic ocean
139	2013.11.12	12-Nov-13	2013	Unprovoked	Western Australia	Trigg Beach, Perth	Surfing	N	Reported to involve a white shark	West Australian, 11/13/2013	earlyafternoon	death	pacific ocean
140	2013.10.31	31-Oct-13	2013	Unprovoked	Hawaii	Kanaha Beach, Maui	Kiteboarding	N	Tiger shark	Maui TV, 10/31/2013	earlyafternoon	injury	atlantic ocean
141	2013.10.26.b	26-Oct-13	2013	Unprovoked	d��tang-Sal�	Ravine Mula	Body boarding	N	Thought to involve a bull shark	Global Post, 10/26/2013	afternoon	amputation	indian ocean
142	2013.10.26.a	26-Oct-13	2013	Unprovoked	Western Australia	Little Island, near Hillarys	Diving for crayfish	N	Reported to involve a 4 m white shark	Sky News, 10/26/2013	morning	injury	pacific ocean
143	2013.10.24	24-Oct-13	2013	Unprovoked	New South Wales	South Narrabeen Beach	Surfing	N	Wobbegong shark	A. Brenneka, Shark Attack Survivors	earlyevening	injury	pacific ocean
144	2013.10.23	23-Oct-13	2013	Unprovoked	Hawaii	Waiehu, Maui	Diving 	N	Whitetip reef shark, 4' to 6'	Maui News, 10/23/2013	earlyafternoon	injury	atlantic ocean
145	2013.10.20	20-Oct-13	2013	Unprovoked	Hawaii	Pila'a Beach, Kaua'i	Surfing	N	Tiger shark	B. Buley, The Garden Island, 10/22/2013	morning	injury	atlantic ocean
146	2013.10.11	11-Oct-13	2013	Unprovoked	Eastern Cape Province	Albatros Point, near Jeffrey's Bay	Swimming / snorkeling	Y	White shark	JBayNews.com, 10/11/2013	morning	death	atlantic ocean
